0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,y
7,16,24,30,31,44,52,59,32,45,54,61,29,40,42,41,25,33,36,36,9,17,23,27,40,48,55,28,42,51,58,27,37,39,39,25,32,34,34,7,14,20,32,40,47,22,35,44,51,22,32,33,32,21,27,29,28,6,14,25,33,40,17,29,37,44,19,27,28,27,20,24,25,24,11,20,27,34,15,25,32,39,18,23,24,23,20,22,23,21,13,21,28,4,15,24,31,8,12,13,12,12,12,12,10,8,15,13,6,12,19,16,10,9,8,22,17,14,13,6,21,9,8,12,24,16,14,14,29,24,21,19,28,15,9,9,31,22,20,20,36,30,27,26,13,22,29,4,9,11,10,9,7,7,6,9,16,15,6,4,4,20,14,11,10,7,24,14,12,12,29,22,19,18,31,21,19,20,36,29,26,26,10,12,11,5,5,6,6,2,2,14,8,4,4,1,17,10,7,6,16,10,7,6,7,10,10,3,4,1,0
8,17,25,31,32,44,52,59,34,48,57,65,33,47,57,65,29,41,48,55,9,17,24,28,39,47,55,31,45,54,62,31,45,54,63,29,40,48,55,8,15,21,32,39,47,25,38,47,55,26,39,48,57,25,36,43,50,6,15,25,32,39,20,32,40,48,22,33,42,50,24,32,39,45,14,21,27,34,19,29,37,44,22,31,39,47,25,32,38,44,11,19,27,5,17,26,34,8,18,27,35,13,18,24,30,8,15,11,8,15,23,14,12,19,26,20,18,20,25,7,18,8,10,17,21,14,16,21,27,22,22,24,25,13,9,12,28,18,16,18,34,27,25,25,14,23,31,4,14,23,32,9,13,19,25,9,17,15,5,10,18,20,14,13,16,8,24,11,6,11,29,21,17,16,32,19,11,7,37,28,22,19,14,23,32,5,10,17,24,9,18,18,9,8,12,8,27,17,11,9,36,25,18,13,11,19,26,7,14,7,0
8,17,25,32,32,46,55,63,33,50,61,70,32,48,59,68,29,41,49,56,10,19,26,29,43,52,60,32,49,59,69,32,48,58,67,30,42,50,57,9,16,21,34,43,51,25,41,51,60,26,41,51,60,26,38,45,52,6,14,26,35,42,19,34,44,53,22,35,45,53,25,34,40,46,13,21,29,37,18,30,40,48,23,33,41,49,26,33,39,45,14,23,31,5,20,30,39,10,21,30,39,14,20,26,32,9,17,13,9,18,26,17,14,20,28,24,21,23,26,7,22,10,12,18,26,17,17,22,32,26,25,26,30,16,11,14,33,22,19,20,39,32,30,29,16,27,37,5,16,26,35,11,14,21,27,10,20,18,6,11,19,24,16,15,17,9,29,14,7,10,34,24,19,17,38,23,13,8,43,32,26,22,16,26,35,6,11,18,25,10,19,20,10,8,12,9,30,19,13,10,39,28,21,15,12,20,27,7,14,6,0
8,17,26,32,33,47,57,65,35,52,63,72,33,50,61,71,29,42,50,58,10,20,26,30,44,53,61,33,50,61,70,32,49,60,69,30,42,51,58,9,15,21,35,44,52,25,42,52,61,26,42,52,61,25,37,45,52,6,15,27,35,43,20,35,45,53,22,35,45,54,24,33,40,47,14,23,31,38,20,32,41,50,23,34,43,51,27,34,40,46,14,23,31,5,20,31,40,9,20,30,40,14,19,25,32,9,17,13,9,18,26,18,13,20,28,24,20,22,26,7,22,9,11,18,26,16,16,21,32,26,25,26,30,15,10,13,34,21,17,19,40,32,29,28,17,28,37,4,16,27,36,11,14,20,27,10,20,19,6,10,19,25,16,15,17,9,30,14,7,10,36,25,20,18,39,23,13,7,45,34,28,23,17,27,37,6,11,19,26,10,20,21,11,9,12,9,32,20,14,11,42,30,23,17,13,21,28,8,15,7,0
8,17,26,32,32,48,57,65,34,53,64,73,32,50,61,71,27,40,48,55,10,19,25,30,45,54,62,32,51,62,72,32,50,61,71,28,42,49,56,9,15,22,36,46,53,26,44,55,64,26,43,54,64,25,37,44,51,6,16,29,37,45,21,37,47,56,23,37,48,57,24,34,41,47,15,25,33,40,21,34,44,53,24,36,45,54,27,34,40,46,15,25,32,5,22,32,42,9,21,32,42,13,18,24,30,9,17,14,10,18,27,19,14,20,29,25,21,22,25,7,24,10,12,19,27,16,17,23,34,27,26,27,31,15,11,14,35,22,18,20,41,34,31,30,19,30,39,4,17,28,38,10,13,19,25,11,20,21,6,10,20,27,18,16,17,9,32,15,7,10,38,27,23,20,41,24,13,7,47,36,30,26,18,29,39,6,11,18,24,11,21,23,12,9,11,10,34,22,17,13,44,32,26,20,13,20,27,7,14,6,0
8,17,26,32,31,47,55,63,33,52,63,73,31,49,60,69,26,39,47,54,10,19,25,28,43,52,60,30,50,60,70,30,48,58,68,27,39,47,54,9,15,20,35,43,51,24,42,53,63,25,41,52,61,24,36,43,50,6,15,27,35,42,20,36,46,55,22,36,46,55,24,33,40,46,15,24,31,38,21,34,43,52,24,35,44,53,28,35,40,46,15,24,32,5,22,32,42,9,21,31,41,14,19,25,31,8,16,15,10,19,28,19,15,21,29,26,22,23,26,8,23,10,13,21,27,17,18,24,34,28,27,28,31,15,12,16,35,22,19,21,41,34,32,31,19,30,40,4,17,27,37,11,13,19,26,11,20,21,7,10,19,27,19,16,17,9,32,15,8,10,38,28,23,20,42,24,15,8,47,37,31,27,18,28,38,6,10,17,25,10,20,23,12,9,11,9,33,22,16,12,43,32,25,19,12,20,27,7,15,7,0
7,16,25,31,33,47,56,63,34,52,62,71,31,48,59,69,26,36,44,51,10,19,25,30,44,53,61,33,50,60,70,31,47,58,68,27,37,45,52,9,15,22,35,44,51,26,42,52,62,25,40,51,61,23,33,40,47,6,17,28,36,43,21,35,45,54,22,35,45,55,23,31,37,43,17,25,32,39,21,34,43,51,24,35,43,53,27,32,38,43,14,22,30,4,19,29,39,9,18,28,38,14,16,21,26,8,16,14,9,17,26,19,14,19,27,26,22,22,24,7,22,9,11,19,27,17,17,22,34,29,26,26,30,15,10,14,34,22,18,20,41,35,32,30,17,27,37,5,14,25,35,12,11,16,22,10,19,20,7,10,19,27,20,17,16,9,31,15,8,10,38,29,24,21,40,24,14,8,47,38,32,27,16,27,37,7,8,14,21,10,21,22,13,9,10,10,33,23,17,12,43,33,27,21,10,18,25,7,14,7,0
7,17,25,31,34,48,57,65,35,52,63,73,32,47,58,67,26,35,38,39,10,19,25,31,45,54,62,33,50,61,71,31,46,57,66,26,35,37,39,8,15,22,36,45,52,25,42,53,62,25,39,49,59,22,30,32,33,6,17,29,38,45,21,36,46,56,22,35,44,53,23,27,29,29,16,25,33,40,21,33,42,51,23,33,41,50,25,28,29,29,14,23,31,5,19,30,40,8,17,27,36,14,13,13,13,8,16,15,9,17,26,19,13,18,25,27,21,19,17,7,23,10,11,19,28,17,16,20,35,28,26,23,31,15,10,13,35,23,18,19,42,35,32,30,17,28,38,4,13,23,33,11,8,8,8,11,20,20,7,9,17,28,20,17,15,9,31,17,9,9,38,30,27,25,41,26,17,10,48,39,36,34,15,25,35,7,5,6,7,10,20,21,13,10,8,9,32,23,20,18,41,33,29,28,8,11,13,3,5,2,0
8,18,27,33,35,50,60,68,36,54,65,75,33,48,60,70,27,36,39,40,10,19,26,31,45,55,63,33,50,61,71,30,46,57,67,26,35,37,38,8,15,22,36,45,53,25,41,52,62,24,38,49,59,22,30,32,32,6,16,29,37,45,21,35,46,55,22,34,44,53,22,28,29,29,15,24,33,40,20,32,42,51,23,32,41,50,25,29,29,29,14,24,32,4,19,30,40,8,17,27,37,14,14,14,13,9,17,15,8,17,26,20,13,18,25,27,22,20,19,8,24,10,11,18,29,18,16,21,36,29,27,26,32,16,10,13,36,24,19,19,44,37,34,33,17,28,38,5,13,24,34,12,9,9,9,11,21,21,8,9,18,28,20,18,16,9,32,17,9,9,39,31,28,27,42,27,17,10,49,40,37,36,15,26,36,7,5,7,7,11,21,22,13,10,9,10,33,24,21,19,43,34,31,30,9,12,13,2,4,1,0
10,22,31,36,38,51,58,64,39,53,61,69,36,48,49,51,29,38,39,39,13,21,26,30,42,50,56,31,45,54,61,29,41,43,44,23,32,33,34,8,13,18,30,38,44,20,34,42,50,20,30,32,34,16,24,26,27,5,11,23,30,36,15,27,35,42,15,24,26,28,15,21,23,25,8,18,25,31,12,22,30,38,14,21,23,24,17,19,22,24,12,20,26,4,15,24,31,7,13,14,16,12,11,14,16,7,13,12,5,12,19,16,9,9,10,23,17,19,21,6,19,7,7,13,23,13,13,13,30,23,25,27,26,12,7,9,29,18,18,17,36,29,30,32,14,22,30,4,10,11,13,10,7,10,12,8,16,17,6,5,5,24,16,18,19,7,25,13,12,11,32,24,25,26,32,20,19,18,39,31,32,33,12,13,14,6,5,7,9,1,3,18,10,12,13,1,20,11,12,14,21,12,13,14,8,10,11,2,4,2,0
